session_id,customer_id,station_id,session_start_time,kwh_charged,cost_per_kwh,total_cost
S00090,C0007,87,2024-10-15 14:17:00,11.76,13.5,158.76
S00091,C0007,68,2024-09-03 11:49:00,11.76,18.0,211.68
S00092,C0007,7,2024-10-30 10:21:00,11.76,18.0,211.68
S00093,C0007,151,2024-09-23 00:30:00,11.76,18.0,211.68
S00094,C0007,197,2024-09-05 08:21:00,11.76,18.0,211.68
S00095,C0007,197,2024-09-15 13:56:00,11.76,18.0,211.68
S00096,C0007,68,2024-10-05 17:46:00,11.76,18.0,211.68
S00097,C0007,18,2024-10-08 22:37:00,11.76,18.0,211.68
S00098,C0007,108,2024-10-18 23:29:00,11.76,18.0,211.68
S00099,C0008,18,2024-09-16 10:26:00,24.168262,18.0,435.028716
S00100,C0008,24,2024-10-10 18:26:00,21.14336,13.5,285.43536
S00101,C0008,186,2024-10-27 13:59:00,28.616,13.5,386.316
S00102,C0008,118,2024-10-25 08:16:00,28.616,13.5,386.316
S00103,C0008,109,2024-11-02 19:52:00,28.616,13.5,386.316
S00104,C0008,76,2024-11-04 20:16:00,28.616,18.0,515.088
S00105,C0008,157,2024-09-13 00:14:00,26.372542,22.5,593.382195
S00106,C0008,18,2024-09-08 22:28:00,28.616,18.0,515.088
S00107,C0008,87,2024-09-30 00:03:00,28.616,13.5,386.316
S00108,C0008,25,2024-09-15 13:57:00,28.599117,13.5,386.088079
S00109,C0008,168,2024-08-13 12:46:00,28.616,22.5,643.86
S00110,C0008,115,2024-10-26 15:31:00,28.616,13.5,386.316
S00111,C0008,72,2024-10-18 15:18:00,25.311914,22.5,569.518065
S00112,C0008,36,2024-09-10 20:24:00,28.616,18.0,515.088
S00113,C0008,138,2024-09-02 13:12:00,28.616,18.0,515.088
S00114,C0009,7,2024-11-06 11:21:00,29.596,18.0,532.728
S00115,C0009,88,2024-10-11 00:08:00,29.596,22.5,665.91
S00116,C0009,92,2024-09-01 15:42:00,28.196941,18.0,507.544938
S00117,C0009,89,2024-10-03 06:27:00,29.596,13.5,399.546
S00118,C0009,71,2024-08-31 10:48:00,27.253458,13.5,367.921683
S00119,C0009,98,2024-09-19 23:44:00,18.089096,22.5,407.00466
S00120,C0009,24,2024-08-20 23:55:00,29.596,13.5,399.546
S00121,C0009,40,2024-08-11 22:04:00,29.596,13.5,399.546
S00122,C0009,93,2024-09-02 04:28:00,29.596,22.5,665.91
S00123,C0009,140,2024-08-26 12:53:00,25.150794,18.0,452.714292
S00124,C0009,186,2024-10-15 04:42:00,28.640666,13.5,386.648991
S00125,C0009,97,2024-08-21 10:05:00,28.01977,18.0,504.35586
S00126,C0009,144,2024-09-02 11:12:00,29.596,18.0,532.728
S00127,C0009,89,2024-08-13 20:39:00,29.596,13.5,399.546
S00128,C0009,27,2024-08-19 06:21:00,29.596,22.5,665.91
S00129,C0010,57,2024-10-16 18:34:00,18.884979,18.0,339.929622
S00130,C0010,63,2024-10-11 23:48:00,13.396115,13.5,180.847553
S00131,C0010,142,2024-08-14 10:24:00,21.074729,13.5,284.508842
S00132,C0010,180,2024-08-24 18:49:00,21.156484,18.0,380.816712
S00133,C0010,164,2024-09-07 06:39:00,27.164429,13.5,366.719791
S00134,C0010,189,2024-10-25 16:04:00,19.88314,22.5,447.37065
S00135,C0010,76,2024-11-03 21:49:00,20.529835,18.0,369.53703
S00136,C0010,196,2024-10-21 17:24:00,19.910405,13.5,268.790468
S00137,C0010,130,2024-11-01 10:57:00,15.213181,22.5,342.296573
S00138,C0010,18,2024-08-15 12:00:00,22.997606,18.0,413.956908
S00139,C0010,144,2024-08-13 23:59:00,17.777015,18.0,319.98627
S00140,C0010,151,2024-11-02 10:47:00,17.228165,18.0,310.10697
S00141,C0010,2,2024-09-20 19:05:00,17.460746,18.0,314.293428
S00142,C0010,50,2024-08-23 14:35:00,17.736226,18.0,319.252068
S00143,C0011,36,2024-10-25 05:31:00,27.32475,18.0,491.8455
S00144,C0011,140,2024-08-26 14:02:00,28.616,18.0,515.088
S00145,C0011,118,2024-09-11 09:52:00,28.616,13.5,386.316
S00146,C0011,174,2024-09-17 01:06:00,28.616,18.0,515.088
S00147,C0011,23,2024-09-18 15:08:00,28.616,22.5,643.86
S00148,C0011,92,2024-09-28 23:17:00,28.616,18.0,515.088
S00149,C0011,140,2024-10-02 23:33:00,26.952252,18.0,485.140536
S00150,C0012,147,2024-08-20 12:47:00,11.76,18.0,211.68
S00151,C0012,109,2024-10-02 00:18:00,11.76,13.5,158.76
S00152,C0012,130,2024-09-03 16:55:00,11.76,22.5,264.6
S00153,C0012,50,2024-10-17 14:54:00,11.76,18.0,211.68
S00154,C0012,29,2024-09-26 04:16:00,11.76,18.0,211.68
S00155,C0012,138,2024-09-20 19:11:00,11.76,18.0,211.68
S00156,C0012,72,2024-10-24 17:14:00,11.76,22.5,264.6
S00157,C0012,21,2024-09-15 09:48:00,11.76,22.5,264.6
S00158,C0012,26,2024-10-20 21:55:00,11.76,18.0,211.68
S00159,C0012,109,2024-10-20 15:06:00,11.76,13.5,158.76
S00160,C0012,164,2024-08-16 09:56:00,11.76,13.5,158.76
S00161,C0012,168,2024-08-22 15:17:00,11.76,22.5,264.6
S00162,C0012,21,2024-08-28 02:37:00,11.76,22.5,264.6
S00163,C0012,2,2024-08-24 19:02:00,11.76,18.0,211.68
S00164,C0013,188,2024-09-26 11:06:00,28.546875,18.0,513.84375
S00165,C0013,92,2024-08-31 14:35:00,29.971027,18.0,539.478486
S00166,C0013,88,2024-08-21 10:11:00,32.231155,22.5,725.200987
S00167,C0013,32,2024-10-30 18:30:00,26.66479,13.5,359.974665
S00168,C0013,72,2024-08-27 06:52:00,17.002515,22.5,382.556587
S00169,C0013,87,2024-10-02 00:33:00,32.180568,13.5,434.437668
S00170,C0013,93,2024-10-23 17:49:00,34.3,22.5,771.75
S00171,C0013,63,2024-10-13 13:03:00,30.30361,13.5,409.098735
S00172,C0013,180,2024-09-07 14:24:00,26.722509,18.0,481.005162
S00173,C0013,63,2024-10-17 09:08:00,28.181171,13.5,380.445808
S00174,C0013,164,2024-10-25 11:37:00,18.844498,13.5,254.400723
S00175,C0013,98,2024-09-14 08:54:00,28.167257,22.5,633.763282
S00176,C0013,40,2024-10-03 08:38:00,23.867034,13.5,322.204959
S00177,C0013,196,2024-08-11 23:25:00,26.151971,13.5,353.051608
S00178,C0014,63,2024-09-12 15:36:00,13.337267,13.5,180.053105
S00179,C0014,60,2024-11-01 14:42:00,12.87609,18.0,231.76962
S00180,C0014,88,2024-08-27 16:14:00,13.98355,22.5,314.629875
S00181,C0014,88,2024-08-16 16:43:00,20.531275,22.5,461.953688
S00182,C0014,157,2024-08-28 22:17:00,15.960841,22.5,359.118922
S00183,C0014,36,2024-10-23 00:13:00,13.568299,18.0,244.229382
S00184,C0014,36,2024-08-12 11:21:00,21.016056,18.0,378.289008
S00185,C0014,71,2024-10-07 05:46:00,18.515888,13.5,249.964488
S00186,C0014,40,2024-09-27 10:26:00,8.545338,13.5,115.362063
S00187,C0014,152,2024-11-03 13:17:00,21.07,18.0,379.26
S00188,C0014,181,2024-11-03 08:40:00,18.288294,18.0,329.189292
S00189,C0014,51,2024-09-06 11:12:00,21.07,22.5,474.075
S00190,C0014,88,2024-10-12 12:17:00,17.099111,22.5,384.729998
S00191,C0014,180,2024-08-17 08:27:00,21.07,18.0,379.26
S00192,C0014,186,2024-08-31 02:56:00,16.472445,13.5,222.378007
S00193,C0014,23,2024-10-08 13:13:00,7.456644,22.5,167.77449
S00194,C0014,167,2024-08-25 19:09:00,14.442519,13.5,194.974007
S00195,C0014,98,2024-09-15 07:49:00,20.008557,22.5,450.192532
S00196,C0014,7,2024-10-10 17:33:00,18.636346,18.0,335.454228
S00197,C0014,24,2024-10-25 12:19:00,17.509943,13.5,236.384231
S00198,C0014,75,2024-10-07 08:55:00,14.054456,13.5,189.735156
S00199,C0014,97,2024-10-11 22:17:00,18.073677,18.0,325.326186
S00200,C0014,57,2024-10-11 08:57:00,17.942498,18.0,322.964964
S00201,C0014,50,2024-08-13 17:41:00,17.901404,18.0,322.225272
S00202,C0015,190,2024-09-29 08:35:00,20.15068,18.0,362.71224
S00203,C0015,51,2024-08-25 09:23:00,18.727076,22.5,421.35921
S00204,C0015,89,2024-11-07 03:55:00,16.990817,13.5,229.376029
S00205,C0015,115,2024-10-01 00:36:00,13.989741,13.5,188.861503
S00206,C0015,32,2024-09-10 19:16:00,23.439981,13.5,316.439744
S00207,C0015,88,2024-11-04 21:54:00,25.926406,22.5,583.344135
S00208,C0015,60,2024-10-30 14:40:00,24.976839,18.0,449.583102
S00209,C0015,2,2024-08-30 22:20:00,20.796324,18.0,374.333832
S00210,C0015,168,2024-10-22 10:30:00,11.299677,22.5,254.242733
S00211,C0015,63,2024-09-03 04:19:00,10.81066,13.5,145.94391
S00212,C0015,174,2024-09-12 15:17:00,15.806308,18.0,284.513544
S00213,C0015,68,2024-10-30 11:53:00,17.780994,18.0,320.057892
S00214,C0015,144,2024-08-23 10:39:00,17.616692,18.0,317.100456
S00215,C0015,68,2024-09-11 10:54:00,18.775007,18.0,337.950126
S00216,C0016,140,2024-09-25 12:15:00,22.341544,18.0,402.147792
S00217,C0016,138,2024-10-13 08:35:00,28.616,18.0,515.088
S00218,C0016,8,2024-11-07 03:36:00,28.616,18.0,515.088
S00219,C0016,50,2024-09-09 11:02:00,22.787554,18.0,410.175972
S00220,C0016,71,2024-10-09 11:47:00,19.761511,13.5,266.780398
S00221,C0016,25,2024-08-24 15:35:00,28.616,13.5,386.316
S00222,C0016,181,2024-08-28 08:13:00,28.616,18.0,515.088
S00223,C0016,72,2024-09-27 03:16:00,28.616,22.5,643.86
S00224,C0016,7,2024-10-25 11:17:00,28.616,18.0,515.088
S00225,C0016,182,2024-09-06 03:59:00,27.581586,18.0,496.468548
S00226,C0016,87,2024-10-28 04:51:00,28.616,13.5,386.316
S00227,C0016,89,2024-10-26 13:40:00,28.616,13.5,386.316
S00228,C0016,87,2024-08-16 12:17:00,28.616,13.5,386.316
S00229,C0016,58,2024-11-03 17:46:00,28.616,13.5,386.316
S00230,C0016,2,2024-10-12 18:13:00,20.85221,18.0,375.33978
S00231,C0017,167,2024-09-22 04:32:00,21.07,13.5,284.445
S00232,C0017,76,2024-10-23 09:27:00,11.394985,18.0,205.10973
S00233,C0017,142,2024-09-25 17:35:00,18.625688,13.5,251.446788
S00234,C0017,58,2024-08-14 16:40:00,17.398209,13.5,234.875822
S00235,C0017,8,2024-11-04 09:11:00,17.572374,18.0,316.302732
S00236,C0017,57,2024-09-09 16:46:00,21.07,18.0,379.26
S00237,C0017,59,2024-09-05 18:12:00,15.168757,13.5,204.778219
S00238,C0017,41,2024-09-17 12:42:00,16.269169,22.5,366.056303
S00239,C0017,182,2024-09-08 14:02:00,13.413579,18.0,241.444422
S00240,C0017,40,2024-09-06 10:48:00,21.07,13.5,284.445
S00241,C0017,109,2024-11-06 11:44:00,19.064342,13.5,257.368617
S00242,C0017,24,2024-08-31 12:00:00,20.548872,13.5,277.409772
S00243,C0017,58,2024-09-27 01:11:00,21.07,13.5,284.445
S00244,C0017,168,2024-08-24 03:10:00,21.07,22.5,474.075
S00245,C0018,72,2024-08-20 06:06:00,25.267783,22.5,568.525118
S00246,C0018,180,2024-09-09 15:10:00,19.292166,18.0,347.258988
S00247,C0018,93,2024-10-16 16:56:00,18.631851,22.5,419.216648
S00248,C0018,138,2024-10-07 06:38:00,15.871433,18.0,285.685794
S00249,C0018,72,2024-10-07 11:39:00,20.976631,22.5,471.974198
S00250,C0018,181,2024-09-15 09:38:00,20.828452,18.0,374.912136
S00251,C0018,72,2024-08-13 07:18:00,15.082435,22.5,339.354787
S00252,C0018,152,2024-10-18 12:05:00,20.879132,18.0,375.824376
S00253,C0018,36,2024-11-07 05:03:00,22.033418,18.0,396.601524
S00254,C0018,76,2024-10-18 21:07:00,13.513414,18.0,243.241452
S00255,C0019,189,2024-09-30 20:37:00,18.759656,22.5,422.09226
S00256,C0019,50,2024-08-17 13:34:00,17.737084,18.0,319.267512
S00257,C0019,76,2024-08-27 08:03:00,17.978454,18.0,323.612172
S00258,C0019,25,2024-09-10 13:05:00,14.189387,13.5,191.556725
S00259,C0019,140,2024-10-17 13:16:00,10.693777,18.0,192.487986
S00260,C0019,92,2024-09-22 13:52:00,14.978335,18.0,269.61003
S00261,C0019,59,2024-08-16 11:54:00,14.418167,13.5,194.645254
S00262,C0019,71,2024-08-28 18:14:00,19.412892,13.5,262.074042
S00263,C0019,27,2024-10-16 05:28:00,19.478052,22.5,438.25617
S00264,C0019,25,2024-10-04 16:34:00,19.250369,13.5,259.879981
S00265,C0019,26,2024-09-21 12:43:00,12.413077,18.0,223.435386
S00266,C0019,97,2024-09-23 01:48:00,13.521767,18.0,243.391806
S00267,C0019,7,2024-08-14 17:44:00,15.533309,18.0,279.599562
S00268,C0019,9,2024-08-14 03:10:00,18.092572,13.5,244.249722
S00269,C0019,26,2024-08-21 15:30:00,16.65957,18.0,299.87226
S00270,C0019,29,2024-10-06 17:34:00,19.242556,18.0,346.366008
S00271,C0019,151,2024-08-18 17:47:00,21.07,18.0,379.26
S00272,C0019,9,2024-08-30 23:20:00,14.002825,13.5,189.038138
S00273,C0019,152,2024-11-05 04:58:00,14.154918,18.0,254.788524
S00274,C0020,197,2024-11-01 09:18:00,18.54144,18.0,333.74592
S00275,C0020,92,2024-08-31 03:52:00,17.671877,18.0,318.093786
S00276,C0020,51,2024-10-26 15:34:00,20.973454,22.5,471.902715
S00277,C0020,189,2024-09-16 12:58:00,18.030307,22.5,405.681908
S00278,C0020,25,2024-08-30 07:48:00,24.962085,13.5,336.988147
S00279,C0020,98,2024-10-14 14:02:00,11.648501,22.5,262.091273
S00280,C0020,118,2024-09-28 12:32:00,21.360867,13.5,288.371704
S00281,C0020,180,2024-10-09 01:38:00,18.797305,18.0,338.35149
S00282,C0020,21,2024-08-11 15:56:00,12.387996,22.5,278.72991
S00283,C0020,88,2024-09-28 10:21:00,9.728163,22.5,218.883668
S00284,C0020,27,2024-09-26 16:17:00,13.499924,22.5,303.74829
S00285,C0020,56,2024-10-01 10:07:00,22.836351,18.0,411.054318
S00286,C0020,87,2024-10-02 06:17:00,22.380926,13.5,302.142501
S00287,C0020,76,2024-09-21 10:03:00,17.48539,18.0,314.73702
S00288,C0020,147,2024-09-19 18:50:00,16.550908,18.0,297.916344
S00289,C0020,152,2024-08-16 13:02:00,14.575612,18.0,262.361016
S00290,C0020,188,2024-08-17 11:15:00,17.250443,18.0,310.507974
S00291,C0021,167,2024-10-27 19:35:00,18.13,13.5,244.755
S00292,C0021,185,2024-10-29 10:01:00,18.13,13.5,244.755
S00293,C0021,60,2024-08-27 02:17:00,18.13,18.0,326.34
S00294,C0021,21,2024-08-26 19:16:00,18.13,22.5,407.925
S00295,C0021,40,2024-10-21 20:47:00,18.13,13.5,244.755
S00296,C0021,2,2024-09-13 14:16:00,18.13,18.0,326.34
S00297,C0021,59,2024-10-20 21:31:00,18.13,13.5,244.755
S00298,C0021,88,2024-10-16 07:45:00,18.13,22.5,407.925
S00299,C0021,63,2024-10-17 15:25:00,18.13,13.5,244.755
S00300,C0021,93,2024-09-11 06:04:00,18.13,22.5,407.925
S00301,C0021,51,2024-10-01 14:18:00,18.13,22.5,407.925
S00302,C0021,58,2024-10-16 13:42:00,18.13,13.5,244.755
S00303,C0021,115,2024-10-02 09:01:00,18.13,13.5,244.755
S00304,C0021,88,2024-10-03 17:08:00,18.13,22.5,407.925
S00305,C0021,151,2024-10-17 11:06:00,18.13,18.0,326.34
S00306,C0021,115,2024-09-12 03:55:00,18.13,13.5,244.755
S00307,C0021,18,2024-09-29 09:40:00,18.13,18.0,326.34
S00308,C0022,155,2024-08-31 10:48:00,39.69,13.5,535.815
S00309,C0022,151,2024-09-17 19:02:00,39.69,18.0,714.42
S00310,C0022,60,2024-10-01 17:46:00,39.69,18.0,714.42
S00311,C0022,151,2024-09-23 13:11:00,39.69,18.0,714.42
S00312,C0022,108,2024-09-04 22:58:00,39.69,18.0,714.42
S00313,C0022,8,2024-11-04 03:24:00,39.69,18.0,714.42
S00314,C0022,115,2024-10-02 17:55:00,39.69,13.5,535.815
S00315,C0022,108,2024-10-15 13:52:00,39.69,18.0,714.42
S00316,C0022,197,2024-08-13 17:46:00,39.69,18.0,714.42
S00317,C0022,32,2024-09-27 08:44:00,39.69,13.5,535.815
S00318,C0022,197,2024-10-16 07:17:00,39.69,18.0,714.42
S00319,C0023,138,2024-08-28 12:53:00,23.78775,18.0,428.1795
S00320,C0023,23,2024-11-05 15:02:00,25.893362,22.5,582.600645
S00321,C0023,108,2024-11-06 15:54:00,30.032103,18.0,540.577854
S00322,C0023,108,2024-09-10 08:13:00,34.3,18.0,617.4
S00323,C0023,71,2024-09-25 07:33:00,24.671739,13.5,333.068476
S00324,C0023,89,2024-10-25 09:45:00,34.3,13.5,463.05
S00325,C0023,40,2024-09-30 16:51:00,22.571355,13.5,304.713293
S00326,C0023,51,2024-08-24 03:45:00,34.3,22.5,771.75
S00327,C0023,185,2024-10-17 12:56:00,34.3,13.5,463.05
S00328,C0023,40,2024-10-19 01:12:00,22.134441,13.5,298.814954
S00329,C0023,87,2024-10-25 03:43:00,21.022882,13.5,283.808907
S00330,C0023,68,2024-10-13 08:25:00,33.959253,18.0,611.266554
S00331,C0023,130,2024-09-08 01:26:00,27.924293,22.5,628.296592
S00332,C0023,12,2024-08-20 22:58:00,24.461791,18.0,440.312238
S00333,C0023,197,2024-10-13 17:20:00,34.3,18.0,617.4
S00334,C0023,155,2024-08-23 12:32:00,23.433537,13.5,316.35275
S00335,C0023,167,2024-10-20 16:33:00,26.001838,13.5,351.024813
S00336,C0023,7,2024-08-12 20:13:00,26.653809,18.0,479.768562
S00337,C0023,9,2024-08-14 14:21:00,14.603031,13.5,197.140918
S00338,C0023,168,2024-08-25 13:53:00,30.502523,22.5,686.306767
S00339,C0024,7,2024-09-11 15:21:00,16.954,18.0,305.172
S00340,C0024,188,2024-10-31 16:16:00,16.954,18.0,305.172
S00341,C0024,98,2024-10-26 04:46:00,16.954,22.5,381.465
S00342,C0024,168,2024-08-11 19:43:00,16.954,22.5,381.465
S00343,C0024,72,2024-09-30 10:50:00,16.954,22.5,381.465
S00344,C0024,142,2024-08-28 19:04:00,16.954,13.5,228.879
S00345,C0024,115,2024-10-27 02:07:00,16.954,13.5,228.879
S00346,C0024,98,2024-08-24 13:14:00,16.954,22.5,381.465
S00347,C0024,76,2024-09-30 13:21:00,16.954,18.0,305.172
S00348,C0025,9,2024-10-25 05:26:00,61.617173,13.5,831.831836
S00349,C0025,63,2024-09-01 18:10:00,56.854783,13.5,767.53957
S00350,C0025,72,2024-10-27 14:09:00,60.400588,22.5,1359.01323
S00351,C0025,25,2024-09-10 12:21:00,54.450248,13.5,735.078348
S00352,C0025,140,2024-10-03 03:16:00,56.664521,18.0,1019.961378
S00353,C0025,12,2024-09-17 05:34:00,60.350652,18.0,1086.311736
S00354,C0025,167,2024-08-16 18:40:00,36.331473,13.5,490.474886
S00355,C0025,8,2024-09-23 08:59:00,63.15525,18.0,1136.7945
S00356,C0025,157,2024-10-04 11:50:00,62.509062,22.5,1406.453895
S00357,C0025,18,2024-10-16 15:07:00,47.973806,18.0,863.528508
S00358,C0025,41,2024-10-04 17:01:00,66.196923,22.5,1489.430768
S00359,C0025,18,2024-09-04 19:03:00,35.044167,18.0,630.795006
S00360,C0025,71,2024-09-26 11:56:00,58.176578,13.5,785.383803
S00361,C0025,27,2024-08-14 10:43:00,55.359397,22.5,1245.586433
S00362,C0025,185,2024-08-20 09:47:00,52.21476,13.5,704.89926
S00363,C0025,72,2024-08-23 22:49:00,55.174306,22.5,1241.421885
S00364,C0025,72,2024-09-12 19:22:00,60.244575,22.5,1355.502937
S00365,C0026,21,2024-10-05 12:11:00,10.777727,22.5,242.498858
S00366,C0026,180,2024-10-23 04:40:00,15.68,18.0,282.24
S00367,C0026,190,2024-10-04 17:41:00,15.68,18.0,282.24
S00368,C0026,51,2024-10-29 08:33:00,15.68,22.5,352.8
S00369,C0026,92,2024-09-17 16:02:00,15.68,18.0,282.24
S00370,C0026,36,2024-09-10 09:35:00,15.68,18.0,282.24
S00371,C0026,2,2024-10-17 23:49:00,15.68,18.0,282.24
S00372,C0026,63,2024-09-23 09:30:00,15.68,13.5,211.68
S00373,C0026,50,2024-10-02 01:14:00,15.68,18.0,282.24
S00374,C0026,151,2024-10-28 16:03:00,13.438217,18.0,241.887906
S00375,C0026,32,2024-11-04 10:44:00,15.68,13.5,211.68
S00376,C0026,8,2024-10-27 18:32:00,11.671248,18.0,210.082464
S00377,C0026,151,2024-10-22 14:04:00,15.68,18.0,282.24
S00378,C0026,108,2024-09-16 13:59:00,15.505964,18.0,279.107352
S00379,C0026,8,2024-10-07 23:37:00,15.68,18.0,282.24
S00380,C0026,58,2024-10-01 17:45:00,15.68,13.5,211.68
S00381,C0026,168,2024-10-29 13:24:00,14.706522,22.5,330.896745
S00382,C0026,108,2024-10-20 15:48:00,15.68,18.0,282.24
S00383,C0026,185,2024-08-22 19:18:00,15.68,13.5,211.68
S00384,C0026,51,2024-10-18 17:37:00,15.68,22.5,352.8
